,Trial_IDs,Transition,P1_IN_Ephys_TS,P1_OUT_Ephys_TS,P2_IN_Ephys_TS,P2_OUT_Ephys_TS,Latency,RewardEphysTS
145,23,37,405.5433,405.7849,406.1083,407.587,0.5649999999999977,406.1083
146,24,22,411.9922666666667,412.1186666666667,412.6785666666667,413.1625666666667,0.6862999999999602,NaN
147,24,21,412.6785666666667,413.1625666666667,413.6739666666667,413.90926666666667,0.9954000000000178,NaN
148,24,16,413.6739666666667,413.90926666666667,414.54606666666666,414.60616666666664,0.8718999999999824,NaN
149,24,63,414.54606666666666,414.60616666666664,415.2493666666666,415.60856666666666,0.7033000000000129,NaN
150,24,37,415.2493666666666,415.60856666666666,416.00146666666666,418.24746666666664,0.7520999999999844,416.00146666666666
151,25,32,419.4020333333333,419.4132333333333,420.0837333333333,420.15003333333334,0.6816999999999781,NaN
152,25,21,420.0837333333333,420.15003333333334,420.6056333333333,420.8381333333333,0.5219000000000165,NaN
153,25,16,420.6056333333333,420.8381333333333,421.59593333333333,421.6146333333333,0.9902999999999906,NaN
154,25,63,421.59593333333333,421.6146333333333,422.21750000000003,422.2176,0.6213999999999942,NaN
155,25,33,422.2187,422.43870000000004,422.61920000000003,422.747,0.4005000000000223,NaN
156,25,37,422.61920000000003,422.747,423.1164,425.2139,0.4971999999999639,423.1164
157,26,22,426.79366666666664,426.80656666666664,428.37106666666665,428.43246666666664,1.5774000000000117,NaN
158,26,22,428.37106666666665,428.43246666666664,429.3623666666666,429.4672666666666,0.9913000000000238,NaN
159,26,21,429.3623666666666,429.4672666666666,430.0064,430.47679999999997,0.6437999999999988,NaN
160,26,16,430.0064,430.47679999999997,431.041,431.0644,1.0346000000000115,NaN
161,26,63,431.041,431.0644,431.6022,431.6023,0.5611999999999853,NaN
162,26,37,431.60269999999997,431.7526,432.1019,433.7669,0.4992000000000303,432.1019
163,27,32,434.83380000000005,434.95250000000004,436.5692,436.7106,1.7353999999999699,NaN
164,27,22,436.5692,436.7106,437.1458,437.2087,0.5765999999999849,NaN
165,27,22,437.1458,437.2087,438.2477,438.401,1.1019000000000003,NaN
166,27,22,438.2477,438.401,438.85330000000005,439.107,0.6056000000000381,NaN
167,27,21,438.85330000000005,439.107,439.64776666666666,439.95806666666664,0.7941999999999894,NaN
168,27,16,439.64776666666666,439.95806666666664,440.9766666666667,441.02436666666665,1.3288999999999758,NaN
169,27,63,440.9766666666667,441.02436666666665,441.70356666666663,441.86716666666666,0.7269000000000005,NaN
170,27,37,441.70356666666663,441.86716666666666,442.28096666666664,445.59396666666663,0.5774000000000115,442.28096666666664
171,28,21,450.7772,450.8219,451.38980000000004,451.53770000000003,0.6125999999999863,NaN
172,28,11,453.73693333333335,453.91493333333335,454.2078333333333,454.38963333333334,0.4709000000000288,NaN
173,28,16,454.2078333333333,454.38963333333334,454.8723333333333,454.9644333333333,0.6644999999999754,NaN
174,28,63,454.8723333333333,454.9644333333333,455.33123333333333,455.4076333333333,0.4589000000000283,NaN
175,28,37,455.42743333333334,455.67533333333336,455.95713333333333,457.43083333333334,0.5296999999999912,455.95713333333333
176,29,21,460.7305666666667,460.7932666666667,461.4338666666667,461.68986666666666,0.7033000000000129,NaN
177,29,16,461.4338666666667,461.68986666666666,462.5505333333333,462.60453333333334,1.1164999999999736,NaN
178,29,62,462.5505333333333,462.60453333333334,462.9027333333333,462.9191333333333,0.3521999999999821,NaN
179,29,33,463.0942333333333,463.2642333333333,463.4013333333333,463.52053333333333,0.3070999999999913,NaN
180,29,33,463.4013333333333,463.52053333333333,463.65483333333333,463.6619333333333,0.2535000000000309,NaN
181,30,21,468.52163333333334,468.58643333333333,468.9694333333333,469.26973333333336,0.4477999999999725,NaN
182,30,16,468.9694333333333,469.26973333333336,470.82969999999995,470.8433,1.8601000000000452,NaN
183,30,63,470.82969999999995,470.8433,471.4658,471.4659,0.636099999999999,NaN
184,30,37,471.4663,471.878,472.2097,473.93170000000003,0.7434000000000083,472.2097
185,31,21,477.77393333333333,477.90843333333333,478.43153333333333,478.61473333333333,0.6576000000000022,NaN
186,31,16,478.43153333333333,478.61473333333333,479.2922,479.34009999999995,0.8605000000000018,NaN
187,31,63,479.2922,479.34009999999995,479.7938,479.79389999999995,0.5015999999999963,NaN
188,31,33,479.7942,479.9609,480.0931,480.1183,0.2989000000000033,NaN
189,31,33,480.0931,480.1183,480.307,480.31749999999994,0.2138999999999669,NaN
190,32,32,485.2720333333333,485.3473333333333,485.9356333333333,486.1190333333333,0.6636000000000308,NaN
191,32,22,485.9356333333333,486.1190333333333,486.7486333333333,487.0002333333333,0.8129999999999882,NaN
192,32,21,486.7486333333333,487.0002333333333,487.3618333333333,487.6356333333333,0.6132000000000062,NaN
193,32,16,487.3618333333333,487.6356333333333,488.3650333333334,488.41623333333337,1.002999999999986,NaN
194,32,63,488.3650333333334,488.41623333333337,488.90703333333335,488.9071333333334,0.54200000000003,NaN
195,32,37,488.90723333333335,489.3027333333334,489.58793333333335,491.21953333333335,0.6807000000000016,489.58793333333335
196,33,21,491.92423333333335,492.1304333333334,492.8767333333334,493.02923333333337,0.9524999999999864,NaN
197,33,16,492.8767333333334,493.02923333333337,494.5534333333334,494.6516333333334,1.6765000000000327,NaN
198,33,62,494.5534333333334,494.6516333333334,495.0499333333334,495.07133333333337,0.4964999999999691,NaN
199,33,33,495.07593333333335,495.5201333333334,495.6825333333334,495.7075333333334,0.6066000000000145,NaN
200,34,21,499.6669,499.7212,500.16679999999997,500.40979999999996,0.4999000000000251,NaN
201,34,16,500.16679999999997,500.40979999999996,501.52846666666665,501.63086666666663,1.3614999999999782,NaN
202,34,63,501.52846666666665,501.63086666666663,502.08646666666664,502.0865666666666,0.5579999999999927,NaN
203,34,33,502.08686666666665,502.41816666666665,502.5695666666666,502.65956666666665,0.4827000000000226,NaN
204,35,22,506.50466666666665,506.53626666666656,508.06616666666656,508.16766666666655,1.5614999999999668,NaN
205,35,21,508.06616666666656,508.16766666666655,508.65446666666656,508.97646666666657,0.5883000000000038,NaN
206,35,63,511.4877333333334,511.5934333333334,512.1423333333335,512.3658333333334,0.6545999999999594,NaN
207,35,33,512.1423333333335,512.3658333333334,512.4880333333334,512.6768333333334,0.3457000000000221,NaN
208,35,37,512.4880333333334,512.6768333333334,512.9922333333334,515.8092333333334,0.5041999999999689,512.9922333333334
209,36,12,517.6059666666666,517.6219666666666,518.4723666666666,518.6483666666666,0.8663999999999987,NaN
210,36,21,518.4723666666666,518.6483666666666,519.2507666666666,519.3967666666666,0.7783999999999764,NaN
211,36,16,541.4022333333332,541.6851333333333,542.2298333333333,542.2700333333331,0.8276000000000749,NaN
212,36,66,542.2298333333333,542.2700333333331,542.5064333333332,542.5892333333334,0.2765999999999167,NaN
